序号,品牌,系列,型号/表头,容量标识,容量_Ton,制冷量_BTU/h,制热量_BTU/h,电源/电压,规范电压_V,制冷功率_W,制冷电流_A,EEER/EER_W/W,SEER/SEEER_W/W,HSPF,除湿量_L/h,最大输入_W,最大电流_A,冷媒_原文,冷媒类型_规范,冷媒充注_kg,蒸发器尺寸_mm,冷凝器尺寸_mm,蒸发器净重_kg,冷凝器净重_kg,室内噪音_dB(A),室外噪音_dB(A),室内风量_m3/h,适用面积_m2,液管_in,气管_in,蒸发器单冷型号,蒸发器冷暖型号,冷凝器单冷型号,冷凝器冷暖型号,来源文件,来源URL,网站录入年月_链接,图片EXIF时间,备注
1,Prime,A1 Advanced,362-A1,36K,3,36000,36000,208-230V~/60Hz,220,,,5.28,18.01,,2.8,3900,18,R410a/2010g,R410A,2.01,1186×340×258,976×421×804,16.5,46.5,54/51/48,59,1450,15~23,"1/4""","1/2""",EMPRC362-A1,EMPRN362-A1,CMPRC362-A1,CMPRN362-A1,data/prime/source_images_20260528_102300/A1_ADVANCED_POPUP.jpg,https://prime.com.mx/wp-content/uploads/2025/06/A1_ADVANCED_POPUP.jpg,2025-06,2025:06:20 17:17:46,来源图为完整参数表；36K 适用面积显示为 15~23 m²，已按源图保留并在异常检查页提示复核。
2,Prime,Bright 1,Bright 1 12K 115V,1 Ton 12000 btu/h 115V,1,12000,,115V,115,1228.1,,5.34,18.25,,,,,R410A,R410A,,830×270×190,720×540×290,8,23,,,,,,,,,,,data/prime/source_images_20260528_102300/BRIGHT-1.jpg,https://prime.com.mx/wp-content/uploads/2023/10/BRIGHT-1.jpg,2023-10,,来源图为简版参数表，未显示 EMPR/CMPR 型号代码、噪音、风量和制热等扩展字段；型号/表头用图中容量与电压描述。
3,Prime,Bright 1,Bright 1 12K 220V,1 Ton 12000 btu/h 220V,1,12000,,220V,220,1292.57,,5.36,18.3,,,,,R410A,R410A,,830×270×190,720×540×290,8,23,,,,,,,,,,,data/prime/source_images_20260528_102300/BRIGHT-1.jpg,https://prime.com.mx/wp-content/uploads/2023/10/BRIGHT-1.jpg,2023-10,,来源图为简版参数表，未显示 EMPR/CMPR 型号代码、噪音、风量和制热等扩展字段；型号/表头用图中容量与电压描述。
4,Prime,Bright 1,Bright 1 18K,1.5 Ton 18000 btu/h,1.5,18000,,220V,220,1870.77,,5.3,18.09,,,,,R410A,R410A,,950×293×205,858×570×292,10,28,,,,,,,,,,,data/prime/source_images_20260528_102300/BRIGHT-1.jpg,https://prime.com.mx/wp-content/uploads/2023/10/BRIGHT-1.jpg,2023-10,,来源图为简版参数表，未显示 EMPR/CMPR 型号代码、噪音、风量和制热等扩展字段；型号/表头用图中容量与电压描述。
5,Prime,Bright 1,Bright 1 24K,2 Ton 24000 btu/h,2,24000,,220V,220,2071.19,,5.44,18.58,,,,,R410A,R410A,,1020×320×215,923×660×345,13,37,,,,,,,,,,,data/prime/source_images_20260528_102300/BRIGHT-1.jpg,https://prime.com.mx/wp-content/uploads/2023/10/BRIGHT-1.jpg,2023-10,,来源图为简版参数表，未显示 EMPR/CMPR 型号代码、噪音、风量和制热等扩展字段；型号/表头用图中容量与电压描述。
6,Prime,Bright 1,Bright 1 36K,3 Ton 36000 btu/h,3,36000,,220V,220,3800,,5.28,18.01,,,,,R410A,R410A,,1100×325×240,1018×837×391,17,61,,,,,,,,,,,data/prime/source_images_20260528_102300/BRIGHT-1.jpg,https://prime.com.mx/wp-content/uploads/2023/10/BRIGHT-1.jpg,2023-10,,来源图为简版参数表，未显示 EMPR/CMPR 型号代码、噪音、风量和制热等扩展字段；型号/表头用图中容量与电压描述。
7,Prime,R3 Advanced,121-R3,,1,12000,12000,115V~/60Hz/1P,115,1250,11.1,5.34,18.25,,1.3,1500,13,R32/500g,R32,0.5,777×250×201,777×290×498,8,22,40/36/33,53,500/550,15~23,"1/4""","3/8""",EMPRC121-R3,EMPRN121-R3,CMPRC121-R3,CMPRN121-R3,data/prime/source_images_20260528_102300/R3_ADVANCED_POPUP.jpg,https://prime.com.mx/wp-content/uploads/2025/06/R3_ADVANCED_POPUP.jpg,2025-06,2025:06:18 18:54:20,
8,Prime,R3 Advanced,122-R3,,1,12000,12000,208-230V~/60Hz/1P,220,1260,5.9,5.36,18.3,,1.3,1650,7.7,R32/475g,R32,0.475,777×250×201,722×276×459,8,20,40/37/33,53,500/550,15~23,"1/4""","3/8""",EMPRC122-R3,EMPRN122-R3,CMPRC122-R3,CMPRN122-R3,data/prime/source_images_20260528_102300/R3_ADVANCED_POPUP.jpg,https://prime.com.mx/wp-content/uploads/2025/06/R3_ADVANCED_POPUP.jpg,2025-06,2025:06:18 18:54:20,
9,Prime,R3 Advanced,182-R3,,1.5,18000,18000,208-230V~/60Hz/1P,220,1880,8.5,5.87,20.05,,1.8,2500,12,R32/670g,R32,0.67,910×294×206,810×305×549,9,24.5,45/39/34,54,1000/1050,20~35,"1/4""","3/8""",EMPRC182-R3,EMPRN182-R3,CMPRC182-R3,CMPRN182-R3,data/prime/source_images_20260528_102300/R3_ADVANCED_POPUP.jpg,https://prime.com.mx/wp-content/uploads/2025/06/R3_ADVANCED_POPUP.jpg,2025-06,2025:06:18 18:54:20,
10,Prime,R3 Advanced,242-R3,,2,24000,24000,208-230V~/60Hz/1P,220,2071.9,9.24,6.03,20.58,,2.4,2700,12,R32/1040g,R32,1.04,1010×315×220,863×349×602,11.5,31,47/45/39,55,1300/1400,30~50,"1/4""","1/2""",EMPRC242-R3,EMPRN242-R3,CMPRC242-R3,CMPRN242-R3,data/prime/source_images_20260528_102300/R3_ADVANCED_POPUP.jpg,https://prime.com.mx/wp-content/uploads/2025/06/R3_ADVANCED_POPUP.jpg,2025-06,2025:06:18 18:54:20,
